Frequency (Hz)	Level (dB)
11541.796875	-56.078419
11584.863281	-55.290901
11627.929688	-55.265465
11670.996094	-55.803970
11714.062500	-58.437927
11757.128906	-62.329021
11800.195312	-60.413074
11843.261719	-56.872169
11886.328125	-54.918911
11929.394531	-53.445190
11972.460938	-52.203594
12015.527344	-51.609024
12058.593750	-52.218140
12101.660156	-53.520809
12144.726562	-55.818790
12187.792969	-58.581486
12230.859375	-56.608868
12273.925781	-54.016289
12316.992188	-52.532963
12360.058594	-52.169132
12403.125000	-52.355419
12446.191406	-52.383682
12489.257812	-52.701210
12532.324219	-53.846703
12575.390625	-56.409073
12618.457031	-61.655365
12661.523438	-65.151703
12704.589844	-61.486691
12747.656250	-58.815033
12790.722656	-57.925400
12833.789062	-57.727341
12876.855469	-57.703701
12919.921875	-58.453671
12962.988281	-59.125832
13006.054688	-58.945992
13049.121094	-59.046860
13092.187500	-59.175240
13135.253906	-60.152748
13178.320312	-65.231178
13221.386719	-69.643402
13264.453125	-62.451702
13307.519531	-59.287357
13350.585938	-58.449646
13393.652344	-57.188923
13436.718750	-54.576237
13479.785156	-52.906475
13522.851562	-52.826759
13565.917969	-54.095383
13608.984375	-55.403385
13652.050781	-55.070953
13695.117188	-53.211758
13738.183594	-51.699581
13781.250000	-51.222580
13824.316406	-51.712139
13867.382812	-52.519623
13910.449219	-52.909191
13953.515625	-52.892136
13996.582031	-53.307098
14039.648438	-54.459679
14082.714844	-55.311413
14125.781250	-54.839954
14168.847656	-52.863228
14211.914062	-51.506367
14254.980469	-51.151836
14298.046875	-51.311218
14341.113281	-51.824360
14384.179688	-52.680893
14427.246094	-53.602627
14470.312500	-54.858814
14513.378906	-57.646408
14556.445312	-61.482689
14599.511719	-62.164749
14642.578125	-61.333305
14685.644531	-60.694828
14728.710938	-59.974453
14771.777344	-59.448532
14814.843750	-58.761997
14857.910156	-57.850075
14900.976562	-57.250263
14944.042969	-57.139362
14987.109375	-57.078224
15030.175781	-56.850960
15073.242188	-56.562412
15116.308594	-56.270046
15159.375000	-56.289761
15202.441406	-56.704453
15245.507812	-57.477661
15288.574219	-57.995430
15331.640625	-58.147030
15374.707031	-58.400337
15417.773438	-57.708176
15460.839844	-56.184944
15503.906250	-55.468349
15546.972656	-56.179714
15590.039062	-57.560688
15633.105469	-58.242531
15676.171875	-58.407104
15719.238281	-59.143860
15762.304688	-60.653652
15805.371094	-62.945179
15848.437500	-66.415680
15891.503906	-67.786263
15934.570312	-67.438774
15977.636719	-66.922318
16020.703125	-66.642464
16063.769531	-67.057678
16106.835938	-67.690125
16149.902344	-65.688072
16192.968750	-62.145405
16236.035156	-59.531574
16279.101562	-57.973770
16322.167969	-57.037361
16365.234375	-56.637459
16408.300781	-56.494553
16451.367188	-56.883213
16494.433594	-56.757648
16537.500000	-56.798950
16580.566406	-57.704609
16623.632812	-58.459709
16666.699219	-57.712151
16709.765625	-56.625816
16752.832031	-56.311649
16795.898438	-56.677471
16838.964844	-56.657997
16882.031250	-56.179287
16925.097656	-55.546764
16968.164062	-55.002388
17011.230469	-54.890129
17054.296875	-55.222626
17097.363281	-55.966248
17140.429688	-56.857738
17183.496094	-57.840630
17226.562500	-58.971901
17269.628906	-60.530094
17312.695312	-62.352772
17355.761719	-63.442993
17398.828125	-63.149158
17441.894531	-62.139069
17484.960938	-61.657318
17528.027344	-61.550255
17571.093750	-61.502819
17614.160156	-61.433044
17657.226562	-61.414856
17700.292969	-61.644848
17743.359375	-62.312489
17786.425781	-62.953159
17829.492188	-63.407303
17872.558594	-63.535175
17915.625000	-63.244389
17958.691406	-63.064701
18001.757812	-63.068642
18044.824219	-62.908012
18087.890625	-62.661549
18130.957031	-63.223278
18174.023438	-64.068184
18217.089844	-63.762665
18260.156250	-62.927948
18303.222656	-62.690479
18346.289062	-63.585796
18389.355469	-65.029961
18432.421875	-65.410309
18475.488281	-64.513123
18518.554688	-62.508141
18561.621094	-61.417835
18604.687500	-61.948753
18647.753906	-62.261120
18690.820312	-61.659321
18733.886719	-61.623356
18776.953125	-61.787918
18820.019531	-62.685577
18863.085938	-64.619652
18906.152344	-66.695389
18949.218750	-67.957817
18992.285156	-65.912872
19035.351562	-64.347275
19078.417969	-63.618179
19121.484375	-63.025166
19164.550781	-62.137089
19207.617188	-63.175117
19250.683594	-67.102905
19293.750000	-67.180664
19336.816406	-64.414589
19379.882812	-61.501278
19422.949219	-59.759663
19466.015625	-59.642456
19509.082031	-59.623352
19552.148438	-58.699177
19595.214844	-58.052284
19638.281250	-58.479477
19681.347656	-59.420265
19724.414062	-60.305443
19767.480469	-60.529648
19810.546875	-60.074677
19853.613281	-59.745220
19896.679688	-60.164822
19939.746094	-61.226772
19982.812500	-62.847836
20025.878906	-65.262917
20068.945312	-68.630211
20112.011719	-73.170990
20155.078125	-79.346703
20198.144531	-87.477020
20241.210938	-97.329361
20284.277344	-109.314865
20327.343750	-125.388771
20370.410156	-132.990494
20413.476562	-133.584732
20456.542969	-134.668396
20499.609375	-137.259583
20542.675781	-135.825424
20585.742188	-134.611069
20628.808594	-134.302048
20671.875000	-137.152939
20714.941406	-136.837296
20758.007812	-138.313644
20801.074219	-140.999756
20844.140625	-141.371719
20887.207031	-141.511551
20930.273438	-143.216705
20973.339844	-143.489777
21016.406250	-139.929184
21059.472656	-138.019104
21102.539062	-139.775681
21145.605469	-141.192352
21188.671875	-140.132141
21231.738281	-137.471039
21274.804688	-137.961853
21317.871094	-136.197052
21360.937500	-137.946106
21404.003906	-137.984909
21447.070312	-137.359833
21490.136719	-137.300873
21533.203125	-139.762787
21576.269531	-139.645920
21619.335938	-139.946365
21662.402344	-140.673874
21705.468750	-141.173737
21748.535156	-143.411346
21791.601562	-144.524719
21834.667969	-144.501099
21877.734375	-138.327057
21920.800781	-135.285599
21963.867188	-137.633270
22006.933594	-137.908752
